adname,adress,divisions,lng,lat,bd09lng,bd09lat,wgs84lng,wgs84lat
双拥主题公园,仓场路与茹水路交叉口东40米,嘉定区,121.2708174,31.38547161,121.2773914,31.39116319,121.2663665,31.38742647
复华公园,茹水路与仓场路交叉口南100米,嘉定区,121.2701832,31.38472142,121.2767595,31.39040688,121.265733,31.386677
新成公园,塔城东路335号(近和政路),嘉定区,121.2643339,31.38956976,121.2709164,31.39521289,121.2598884,31.39152776
娄塘公园,嘉唐公路与娄朱公路交汇处南100米,嘉定区,121.2098846,31.42692897,121.2162904,31.4332418,121.2054139,31.42885271
黄渡文化广场,文化街79弄7号,嘉定区,121.2131173,31.26598777,121.2195388,31.27226742,121.2086648,31.26797035
北郊公园-外冈法治文化公园,恒荣路北郊公园(东南角),嘉定区,121.1708027,31.35382426,121.1773177,31.35984444,121.166266,31.35570236
远香湖,白银路,嘉定区,121.2637697,31.35170009,121.2703812,31.35734835,121.2593278,31.35367024
菊园新区垃圾分类主题公园,盘安路红石路交叉口西北角,嘉定区,121.2239402,31.38251834,121.2304083,31.38863114,121.2194903,31.38447029
古树公园,安亭镇光明村泰海路230号,嘉定区,121.2405521,31.31752439,121.2470989,31.32333285,121.2361182,31.31950889
口袋公园,曹安公路与星华公路交汇处东北角,嘉定区,121.272534,31.27234897,121.2790967,31.27805772,121.268091,31.27434318
高昌路居民健身公园,高昌路121号附近,嘉定区,121.2374307,31.37553475,121.2439709,31.38139794,121.2329908,31.37749823
陈家山荷花公园,平城路860号,嘉定区,121.2408581,31.40013129,121.247392,31.4059311,121.2364173,31.40208894
栖霞苑口袋公园,人民街西水关南侧,嘉定区,121.2374593,31.38034929,121.2439948,31.38621073,121.233019,31.38231132
北郊公园,百安公路2699号,嘉定区,121.1705772,31.35418872,121.1770933,31.36020459,121.16604,31.35606628
紫气东来公园,天祝路(近胜辛路),嘉定区,121.2462555,31.34625243,121.2528452,31.3519838,121.2418201,31.34822799
百亩公园,南翔镇卢尔公寓,嘉定区,121.3165988,31.30182371,121.3229906,31.30817783,121.3120756,31.30374219
滨江爱特公园,江桥艾法薇尔幼儿园西南(石粉厂路),嘉定区,121.3104287,31.23220515,121.3168658,31.23852928,121.305925,31.23416462
西上海广场,合作路1018号,嘉定区,121.2479503,31.34508371,121.254545,31.35079483,121.243515,31.34705983
嘉北郊野公园,沪宜公路5051号,嘉定区,121.192345,31.35935597,121.1987755,31.36569515,121.1878507,31.36127174
南水关公园,博乐路70号,嘉定区,121.2512904,31.37844728,121.2578765,31.38412111,121.2468519,31.38041262
新城拓展公园,裕民南路石冈门塘休闲公园,嘉定区,121.2628439,31.34721524,121.2694561,31.35286043,121.258403,31.34918738
同济大学嘉定校区满天星广场,曹安公路4800号同济大学嘉定校区,嘉定区,121.213686,31.28930965,121.2200959,31.29557886,121.2092323,31.29128324
新世纪广场,新世界休闲生活广场,嘉定区,121.3357298,31.26381097,121.3421622,31.27005735,121.3311666,31.2657087
南城墙公园,南大街6号附近,嘉定区,121.249655,31.37768384,121.256238,31.38337277,121.2452168,31.37964947
儿童公园,梅园路226号(近嘉定体育馆),嘉定区,121.2368367,31.38506868,121.2433646,31.39093993,121.2323957,31.38702901
汇龙潭公园,塔城路299号,嘉定区,121.2494456,31.38307624,121.2560226,31.38876583,121.2450069,31.38504024
绿地滨河公园(建设中),鹤望路与金运路交叉口西180米,嘉定区,121.3140514,31.24606706,121.3204751,31.25241682,121.3095387,31.24801366
陈家山公园,胜竹路柳湖路,嘉定区,121.240623,31.40084505,121.2471556,31.40664856,121.236182,31.40280242
儿童公园-梅园广场,嘉定镇梅园路71号,嘉定区,121.2376869,31.38535785,121.2442184,31.39121399,121.2332462,31.38731849
洛克公园(吉嘉商业广场店),崇教路19号吉嘉商业广场F1层(马陆地铁站出入口步行80米),嘉定区,121.2721153,31.32226352,121.2786933,31.32797107,121.2676685,31.32423834
安亭市民广场,墨玉路328号,嘉定区,121.1598949,31.30181273,121.1664265,31.30762518,121.1553406,31.30368933
杭桂绿地公园,杭桂路945号,嘉定区,121.201176,31.27556915,121.2075683,31.28192843,121.1967046,31.27753073
同济大学嘉定校区嘉园广场,曹安公路4800号同济大学嘉定校区,嘉定区,121.2082375,31.28478399,121.2146336,31.2911095,121.2037765,31.28675222
儿童拓展公园,裕民南路与伊宁路路口,嘉定区,121.2621605,31.34651692,121.268773,31.35216038,121.2577202,31.34848963
南翔镇银翔湖公园,南翔镇槎溪路,嘉定区,121.3225767,31.28409841,121.3289653,31.29045431,121.3180416,31.28601272
春盛苑小区休闲广场,嘉松北路与罗家路交叉口北140米,嘉定区,121.2037632,31.27285499,121.2101591,31.27920845,121.1992963,31.27482168
嘉定紫藤园,博乐路45号,嘉定区,121.2542778,31.38158846,121.2608661,31.38724049,121.2498383,31.38355249
南门港公园,新排路与川南奉公路交叉口南80米,奉贤区,121.6457408,30.91265481,121.6522494,30.91857107,121.6415256,30.91498937
青春广场,城乡路与振兴路交叉口,奉贤区,121.5761275,30.92636044,121.5825468,30.93259783,121.5719348,30.92872084
青春广场-法治文化广场,南奉公路与城乡路交叉口西80米,奉贤区,121.5758813,30.92631528,121.5822998,30.93255617,121.5716883,30.92867547
西渡公园,西渡街道扶兰路18号对面,奉贤区,121.4355678,30.990903,121.4419967,30.99726248,121.4309668,30.99289263
共青公园,新柘中路与沪杭公路交叉口东北40米,奉贤区,121.4683162,30.83191014,121.4748001,30.8379402,121.46381,30.83406113
哈士鳍路亚公园,延安中心支路与延安中心路交叉口西北260米,奉贤区,121.4383947,30.88416992,121.4448167,30.89053658,121.433808,30.88622694
玉兰广场,四团天鹏四区(市场路南),奉贤区,121.7238691,30.94396441,121.7304163,30.94971826,121.7195231,30.94615039
