FID,lng,lat
466,121.4504219,31.25433709
467,121.4498962,31.25435426
468,121.4493705,31.25437143
469,121.4488448,31.25438859
470,121.448319,31.25440576
471,121.4477933,31.25442293
472,121.4472676,31.25444009
473,121.4537319,31.25345958
474,121.4532062,31.25347676
475,121.4523829,31.25320234
476,121.4518826,31.25336461
477,121.4513846,31.25353328
478,121.4510367,31.25401523
479,121.4508342,31.25315476
480,121.4503936,31.25290691
481,121.4505747,31.25312626
482,121.4531131,31.2529886
483,121.4530272,31.25318943
484,121.4527744,31.2527284
485,121.4529191,31.25229878
486,121.4534096,31.25210897
487,121.4538988,31.2519157
488,121.4544018,31.25181967
489,121.4554364,31.25186048
490,121.4559543,31.25176882
491,121.4564723,31.25167717
492,121.4569897,31.2515827
493,121.4575066,31.25148543
494,121.4580235,31.25138816
495,121.4533323,31.25226168
496,121.4538241,31.25207547
497,121.4543172,31.25189557
498,121.454554,31.25222214
499,121.4548503,31.25171786
500,121.4520606,31.24956183
501,121.4525637,31.24946704
502,121.4530173,31.24967094
503,121.453257,31.25013912
504,121.4534967,31.25060731
505,121.4537364,31.25107551
506,121.4513071,31.2492574
507,121.4510554,31.24879553
508,121.4507395,31.24851183
509,121.4528688,31.25182393
510,121.4533593,31.25163406
511,121.4538499,31.25144422
512,121.4510319,31.24917736
513,121.4515223,31.24898739
514,121.4533353,31.25210101
515,121.4538261,31.25191206
516,121.4543237,31.25176017
517,121.4540461,31.25155618
518,121.4535528,31.25173888
519,121.4530596,31.25192159
520,121.4527939,31.25226099
521,121.4525031,31.25253126
522,121.4520144,31.25272586
523,121.4515258,31.25292045
524,121.4510371,31.25311505
525,121.4507318,31.2527784
526,121.4506847,31.25301042
527,121.4510815,31.25333836
528,121.4515683,31.25314773
529,121.4520606,31.25296262
530,121.452553,31.25277751
531,121.4527198,31.25238668
532,121.4538108,31.2518969
533,121.4533203,31.25208679
534,121.4528298,31.25227668
535,121.4526607,31.25265451
536,121.4529157,31.25311452
537,121.4532828,31.25341699
538,121.4538087,31.25340696
539,121.4528664,31.2522474
540,121.45118,31.24965035
541,121.4540296,31.24316502
542,121.4547307,31.24350077
543,121.4550255,31.24262102
544,121.4564004,31.25418345
545,121.4558808,31.25426377
546,121.4590696,31.25498286
547,121.458698,31.25421859
548,121.458181,31.25415036
549,121.457655,31.25415654
550,121.4571291,31.25416271
551,121.4488146,31.24989764
552,121.4487668,31.24834864
553,121.4484983,31.2488008
554,121.447615,31.2489691
555,121.4473905,31.24849344
556,121.4478317,31.24980219
557,121.4475484,31.25024536
558,121.4472663,31.25068931
559,121.4482388,31.25103919
560,121.4583452,31.24502419
561,121.4578224,31.24507808
562,121.4582225,31.24452843
563,121.4580261,31.2450162
564,121.449485,31.25052905
565,121.4489735,31.25056363
566,121.4487086,31.25098501
567,121.4482472,31.25117508
568,121.4502556,31.25023789
569,121.4522608,31.24951782
570,121.4517602,31.24967903
571,121.4512627,31.24984923
572,121.4507731,31.2500414
573,121.459145,31.25221157
574,121.4591968,31.25273497
575,121.4592458,31.25325862
576,121.4592891,31.25378281
577,121.4553602,31.25775521
578,121.4556873,31.25755666
579,121.4560476,31.25722972
580,121.4522009,31.24858775
581,121.4516749,31.2485903
582,121.4495227,31.24776035
583,121.4492097,31.24745368
584,121.448748,31.24747028
585,121.4489604,31.24812332
586,121.4570812,31.24508465
587,121.4565674,31.2449756
588,121.4560677,31.24481249
589,121.4555928,31.24458775
590,121.4551398,31.24432042
591,121.4524508,31.24283963
592,121.4520348,31.2425178
593,121.446719,31.2515322
594,121.4469182,31.25104595
595,121.4471749,31.25058701
596,121.4474492,31.25013829
597,121.4477282,31.24969239
598,121.4474256,31.2508887
599,121.4479113,31.25109071
600,121.448358,31.25089195
601,121.4487958,31.25060038
602,121.4482509,31.24885606
603,121.4485345,31.24841309
604,121.4488171,31.2479695
605,121.4472403,31.2502207
606,121.4475337,31.24978418
607,121.4478471,31.24936757
608,121.4482563,31.2475579
609,121.4487769,31.2476322
610,121.4497041,31.24765284
611,121.4502283,31.2476959
612,121.4507522,31.24774266
613,121.4512757,31.24779334
614,121.4518,31.24782154
615,121.452326,31.24782552
616,121.4528517,31.24782185
617,121.4533771,31.24780496
618,121.453903,31.24780028
619,121.4544289,31.24779032
620,121.454954,31.24775924
621,121.4554712,31.24766763
622,121.4559742,31.2475155
623,121.4564746,31.24735487
624,121.4474133,31.25671298
625,121.4472697,31.25620698
626,121.4574242,31.24657664
627,121.4581727,31.24440465
628,121.4577325,31.24457727
629,121.4579054,31.2440807
630,121.4581504,31.24439985
631,121.458016,31.24490642
632,121.4573251,31.24544631
633,121.4573881,31.24492462
634,121.4575504,31.24442672
635,121.4564482,31.24738456
636,121.456923,31.24716283
637,121.457924,31.24771906
638,121.4578037,31.24720708
639,121.4577072,31.24669013
640,121.4576258,31.24617055
641,121.4580525,31.24437476
642,121.4578988,31.24487759
643,121.4577947,31.24539239
644,121.4577735,31.24591691
645,121.4578277,31.24643982
646,121.4579238,31.24695678
647,121.4580301,31.24747187
648,121.4581416,31.24798591
649,121.4569741,31.24748194
650,121.4564631,31.24760537
651,121.4587354,31.24702458
652,121.4579497,31.24850705
653,121.4578373,31.24799326
654,121.457865,31.24852889
655,121.4577107,31.24802606
656,121.4575969,31.24751255
657,121.4574908,31.24699744
658,121.457411,31.24647769
659,121.457393,31.24595249
660,121.4574055,31.24542666
661,121.4574862,31.24490797
662,121.4576275,31.24440201
663,121.4585368,31.24862347
664,121.4585711,31.24996162
665,121.4585811,31.24915428
666,121.4586207,31.24967667
667,121.4587408,31.25018863
668,121.4588586,31.25070123
669,121.4585028,31.25099406
670,121.4583925,31.25047977
671,121.4582829,31.24996535
672,121.4581582,31.24945448
673,121.4583781,31.24841184
674,121.4584551,31.24893159
675,121.4581382,31.2472691
676,121.4584349,31.24770214
677,121.4585569,31.24821133
678,121.45864,31.24873062
679,121.4587414,31.24924671
680,121.4587925,31.24976815
681,121.4587716,31.25029336
682,121.457588,31.24699085
683,121.4582485,31.26085845
684,121.4529724,31.24612667
685,121.4523266,31.24599178
686,121.4521561,31.24247644
687,121.4525765,31.24279259
688,121.4599334,31.25357306
689,121.4599417,31.25304827
690,121.4598848,31.25252565
691,121.4598,31.25200654
692,121.4586674,31.24684996
693,121.4581651,31.24700601
694,121.4576628,31.24716206
695,121.4571605,31.24731811
696,121.4566598,31.24747936
697,121.4561601,31.24764344
698,121.4564819,31.24745645
699,121.4569824,31.24729471
700,121.4574847,31.24713855
701,121.4579869,31.2469824
702,121.4584892,31.24682624
703,121.4589926,31.24667382
704,121.455452,31.24785198
705,121.454934,31.24793972
706,121.4544096,31.24797546
707,121.4538837,31.24798283
708,121.4533577,31.2479887
709,121.4528317,31.24799274
710,121.4523058,31.24798821
711,121.4517799,31.24798062
712,121.451254,31.24796983
713,121.4507282,31.24795704
714,121.4502037,31.2479174
715,121.4496802,31.24786689
716,121.4491581,31.24780351
717,121.448637,31.24773182
718,121.4481167,31.2476557
719,121.4482339,31.24758535
720,121.448755,31.24765707
721,121.4492761,31.24772878
722,121.4497985,31.24778909
723,121.4503223,31.24783619
724,121.4508471,31.24787
725,121.4513729,31.24788284
726,121.4518988,31.24789244
727,121.4524248,31.24790003
728,121.4529507,31.24790192
729,121.4534767,31.24789788
730,121.4540026,31.24789127
731,121.4545286,31.24788393
732,121.4550539,31.24785807
733,121.4555668,31.24774574
734,121.4582801,31.24956164
735,121.4581144,31.24906245
736,121.4580022,31.24498684
737,121.4579085,31.24550362
738,121.4579244,31.24602839
739,121.4581492,31.2464869
740,121.4586419,31.24664917
741,121.4568311,31.24756736
742,121.4531436,31.24804973
743,121.4560446,31.24783223
744,121.4555441,31.24799352
745,121.4550299,31.24810008
746,121.4545047,31.24812497
747,121.4539787,31.24812654
748,121.4554715,31.24788904
749,121.4547297,31.24781941
750,121.4552524,31.24776528
751,121.4557588,31.24762596
752,121.4502248,31.24775163
753,121.4507485,31.24780088
754,121.451273,31.24783994
755,121.4517971,31.24788427
756,121.4581526,31.24495106
757,121.4586703,31.24486412
758,121.454208,31.24358924
759,121.4544431,31.2427712
760,121.4536534,31.2432814
761,121.4552449,31.24347559
762,121.4550841,31.24313141
763,121.4541307,31.24247416
764,121.4536539,31.24225228
765,121.45337,31.24268227
766,121.4552452,31.24395345
767,121.4545755,31.24378914
768,121.45346,31.25234969
769,121.4539508,31.2521606
770,121.4544445,31.25197978
771,121.4537331,31.25335049
772,121.4533043,31.25315156
773,121.4530535,31.25268925
774,121.4510932,31.24936863
775,121.4522113,31.24942987
776,121.4517009,31.24955697
777,121.4483604,31.2510898
778,121.449211,31.25018397
779,121.4490747,31.25023285
780,121.4489254,31.24833811
781,121.4486424,31.2487815
782,121.4589896,31.25565543
783,121.4589825,31.25512957
784,121.4589686,31.25460377
785,121.4594995,31.25407184
786,121.4600239,31.25411028
787,121.4605435,31.25419054
788,121.447326,31.25458576
789,121.4478517,31.25456734
790,121.4483773,31.25454847
791,121.448903,31.25452959
792,121.4494287,31.25451178
793,121.4499543,31.25449442
794,121.45048,31.25447706
795,121.4510036,31.25443103
796,121.4515287,31.25439933
797,121.4520541,31.25437566
798,121.4525797,31.25435476
799,121.4531034,31.25430674
800,121.4536267,31.25425368
801,121.4541501,31.25420077
802,121.4589256,31.25355468
803,121.4588805,31.25303074
804,121.4587923,31.2525127
805,121.4593529,31.25749067
806,121.4593413,31.25801653
807,121.4593249,31.25854225
808,121.4592979,31.25906746
809,121.4591959,31.25958063
810,121.4601946,31.25423736
811,121.4596697,31.25420485
812,121.4583496,31.2608584
813,121.4585972,31.26039674
814,121.4588024,31.25991302
815,121.4581563,31.26092021
816,121.4584355,31.2604802
817,121.4586434,31.25999707
818,121.4588368,31.26019693
819,121.4586165,31.26067456
820,121.4583962,31.26115219
821,121.4590233,31.25920526
822,121.45907,31.25868167
823,121.4590812,31.2581558
824,121.4590924,31.25762994
825,121.4592695,31.25748256
826,121.4592577,31.25800841
827,121.4592426,31.25853414
828,121.459223,31.25905965
829,121.459093,31.25956878
830,121.4493081,31.24722957
831,121.449614,31.24680163
832,121.4497004,31.24773527
833,121.4502248,31.24777578
834,121.4507492,31.24781629
835,121.4512737,31.2478568
