name,address,check,city,type,outputaddress,gcj02_lng,gcj02_lat,wgs84_lng,wgs84_lat,subtitle
百联滨江购物中心,上海市平凉路1399号,总签到875人,上海市,购物服务,上海市杨浦区平凉路1399号百联滨江购物中心,121.537687,31.264969,121.5333814,31.26707851,总签到875人  上海市  购物服务
重庆高老九火锅(张江汇智店),上海市金科路3057号汇智国际商业中心3层313,总签到187人,上海市,火锅店,上海市浦东新区金科路3057号汇智国际商业中心3层重庆高老九火锅(浦东汇智广场店)张江,121.610937,31.203482,121.6067364,31.20569351,总签到187人  上海市  火锅店
远东宏信广场,上海市耀江路9号(后滩地铁站4号口步行460米),总签到165人,上海市,楼宇,上海市浦东新区龙滨路9号后滩远东宏信广场,121.470594,31.172316,121.4660659,31.17427819,总签到165人  上海市  楼宇
华东师范大学闵行校区图书馆,上海市东川路500号华东师范大学内(近莲花南路),总签到4461人,上海市,图书馆,上海市闵行区东川路500号莲花南路华东师范大学闵行校区图书馆,121.452455,31.029628,121.4478871,31.03162539,总签到4461人  上海市  图书馆
潮州府砂锅粥(徐家汇店),上海市徐汇区广元西路60号裙房(近华山路),总签到153人,上海市,餐饮,上海市徐汇区广元西路60号华山路潮州府(徐家汇店),121.436069,31.197492,121.431451,31.19936817,总签到153人  上海市  餐饮
上海瑞金洲际酒店,上海市瑞金二路118号,总签到343人,上海市,五星级宾馆,上海市黄浦区瑞金二路118号上海瑞金洲际酒店,121.463932,31.213131,121.4593799,31.21505588,总签到343人  上海市  五星级宾馆
上海摄影艺术中心,上海市龙腾大道2500西北方向140米,总签到2493人,上海市,美术馆,上海市徐汇区龙腾大道上海摄影艺术中心,121.462923,31.167964,121.4583719,31.16990879,总签到2493人  上海市  美术馆
爱博三村,上海市申滨路1058弄-1-82号,总签到1716人,上海市,住宅,上海市闵行区申滨路1058弄1-82号爱博三村(西门),121.30796,31.210548,121.3034635,31.21252204,总签到1716人  上海市  住宅
上海圣诺亚皇冠假日酒店,上海市金沙江路1699号,总签到1123人,上海市,五星级宾馆,上海市普陀区金沙江路1699号上海圣诺亚皇冠假日酒店,121.377494,31.232302,121.3728573,31.23414917,总签到1123人  上海市  五星级宾馆
南泉路菜场,上海市浦东新区塘桥街道沃尔玛(南浦大桥分店)盛族家园-悉尼阳光·悉尼星光,,上海市,未知分类,上海市浦东新区塘桥街道盛族家园-悉尼阳光·悉尼星光南泉路菜场,121.522129,31.20995,121.517778,31.21204355,  上海市  未知分类
五滧镇桥,上海市崇明区堡镇五滧镇桥,总签到23人,上海市,公园户外,上海市崇明区堡镇五滧镇桥,121.67732,31.535043,121.6729938,31.53705349,总签到23人  上海市  公园户外
中国金融信息中心,上海市东园路18号,总签到703人,上海市,楼宇,上海市浦东新区东园路18号中国金融信息中心,121.501447,31.241766,121.49702,31.24378401,总签到703人  上海市  楼宇
融创盛世滨江,上海市黄浦区中山南一路500弄,总签到145人,上海市,生活服务,上海市黄浦区中山南一路500弄黄浦滨江(3号口),121.487676,31.196024,121.4832035,31.19802246,总签到145人  上海市  生活服务
后滩公园,上海市世博文化公园北侧,月签到19人,上海市,公园,上海市浦东新区世博文化公园后滩公园,121.472758,31.183531,121.4682359,31.18549332,月签到19人  上海市  公园
盛兴,上海市顺昌路528号,总签到269人,上海市,餐饮,上海市黄浦区顺昌路528号,121.47937,31.212466,121.4748673,31.21443246,总签到269人  上海市  餐饮
同济大学建筑与城市规划学院D楼,上海市杨浦区四平路1239号同济大学建筑与城市规划学院,总签到168人,上海市,校园,上海市杨浦区四平路1239号,121.501622,31.283465,121.4971921,31.28546555,总签到168人  上海市  校园
海上国际影城(莘庄龙之梦店),上海市闵行区沪闵路6088号莘庄凯德龙之梦购物中心4楼(近莘建路),总签到1394人,上海市,电影院,上海市闵行区沪闵路莘庄凯德龙之梦(B1北1门),121.378047,31.108619,121.3734204,31.11052866,总签到1394人  上海市  电影院
新天地。猫的天空之城,上海市黄浦区淮海中路街道翠湖天地嘉苑新天地时尚·购物中心,总签到1138人,上海市,书店,上海市黄浦区淮海中路街道翠湖天地天地嘉苑新天地时尚·购物中心(东门),121.47509,31.219076,121.4705725,31.22102736,总签到1138人  上海市  书店
上海交通大学徐汇校区,上海市华山路1954号,,上海市,高校,上海市徐汇区华山路1954号上海交通大学徐汇校区,121.433116,31.198981,121.4284928,31.20085222,  上海市  高校
北京新村,上海市静安区北京西路1220弄1-108号,总签到48人,上海市,楼宇,上海市静安区北京西路1220弄1-108号北京新邨(东南门),121.451916,31.22942,121.4473295,31.23130957,总签到48人  上海市  楼宇
阿大葱油饼(瑞金二路店),上海市瑞金二路181-27号,总签到648人,上海市,餐饮,上海市黄浦区瑞金二路181-5号,121.465671,31.212755,121.4611242,31.21468442,总签到648人  上海市  餐饮
南京路步行街,上海市南京东路558号,总签到2310人,上海市,景点,上海市黄浦区南京路步行街558号南京路步行街(第一百货商业中心店),121.475408,31.234999,121.4708901,31.23694383,总签到2310人  上海市  景点
钟书阁徐汇店,上海市徐汇区龙华中路759号绿地缤纷城(徐汇店)F1,总签到946人,上海市,购物,上海市徐汇区龙华中路绿地缤纷城,121.456748,31.183613,121.4521781,31.18553525,总签到946人  上海市  购物
上海交通大学安泰经济与管理学院,上海市长宁区法华镇路535号上海交通大学内(近定西路),总签到1449人,上海市,其他,上海市长宁区法华镇路定西路,121.423497,31.210648,121.4188595,31.21250243,总签到1449人  上海市  其他
上海长荣桂冠酒店,上海市祖冲之路1136号(近金科路),总签到228人,上海市,四星级宾馆,上海市浦东新区祖冲之路1136号金科路长荣桂冠酒店,121.602501,31.203793,121.5983023,31.20600764,总签到228人  上海市  四星级宾馆
湟普汇,上海市茂名北路328号(南京西路地铁站4号口旁),总签到722人,上海市,中餐厅,上海市静安区茂名北路328号南京西路站(13号口),121.45916,31.227679,121.4545929,31.22958551,总签到722人  上海市  中餐厅
宴庭,上海市北京西路1008号上海静安瑞吉酒店2F,,上海市,广东菜,上海市静安区北京西路1008号上海静安瑞吉酒店2层,121.456177,31.23106,121.4516014,31.23295809,  上海市  广东菜
奎星楼串串香公司望京小腰,上海市黄浦区济南路9号九号商场F1,总签到384人,上海市,烧烤,上海市黄浦区济南路9号九号商场,121.477184,31.221509,121.4726732,31.22346502,总签到384人  上海市  烧烤
文汇路300弄,上海市上海文汇路300弄,总签到359人,上海市,楼宇,上海市松江区文汇路300弄,121.218032,31.050978,121.2136039,31.05307699,总签到359人  上海市  楼宇
朱家角课植园,上海市青浦区朱家角镇西井街119号(近涌泉桥)(近涌泉桥),总签到439人,上海市,其他,上海市青浦区朱家角镇西井街119号朱家角课植园,121.05346,31.113514,121.0489125,31.1154576,总签到439人  上海市  其他
佳家汤包黄河店,上海市黄河路127号(人民广场地铁站8号口步行340米),总签到1882人,上海市,餐饮,上海市黄浦区黄河路127号人民公园,121.473115,31.232135,121.4685899,31.23407487,总签到1882人  上海市  餐饮
