FID,name,province,city,area,address,uid,detail_url,tag,wgs84_lng,wgs84_lat,行业大,行业子,Get_time,ha,value,visit_num
129,古美科普公园,上海市,上海市,闵行区,上海市闵行区古美路与平阳路交叉口西南100米,b7021bf870d6bee3f4e73bc5,http://api.map.baidu.com/place/detail?uid=b7021bf870d6bee3f4e73bc5&output=html&source=placeapi_v2,旅游景点;公园,121.4008875,31.14335518,旅游景点,公园,2021/10/25 0:53,1.22953,1,1044
130,梅陇镇廉政文化主题公园,上海市,上海市,闵行区,上海市闵行区上中西路1250号,b75462efc8d1a194b7f42f04,http://api.map.baidu.com/place/detail?uid=b75462efc8d1a194b7f42f04&output=html&source=placeapi_v2,旅游景点;公园,121.4045968,31.1325523,旅游景点,公园,2021/10/25 0:53,0.67163,1,953
131,德州休闲绿地,上海市,上海市,浦东新区,上海市浦东新区德州路338号,b7d3971bef3eeeac2b11d1a9,http://api.map.baidu.com/place/detail?uid=b7d3971bef3eeeac2b11d1a9&output=html&source=placeapi_v2,旅游景点;公园,121.4846112,31.16825252,旅游景点,公园,2021/10/25 0:53,2.30461,1,2523
132,金桥公园,上海市,上海市,浦东新区,上海市浦东新区台儿庄路408号,b93cbdca65b36d5eed74f85a,http://api.map.baidu.com/place/detail?uid=b93cbdca65b36d5eed74f85a&output=html&source=placeapi_v2,旅游景点;公园,121.5888896,31.25913954,旅游景点,公园,2021/10/25 0:53,10.93041,1,5135
133,泾东公园,上海市,上海市,浦东新区,上海市浦东新区罗山路286号,bb1d38e4af07094c0d0a70b0,http://api.map.baidu.com/place/detail?uid=bb1d38e4af07094c0d0a70b0&output=html&source=placeapi_v2,旅游景点;公园,121.5515167,31.24952457,旅游景点,公园,2021/10/25 0:53,1.66424,1,1093
134,华灵公园,上海市,上海市,宝山区,上海市宝山区华灵路780号,bba87388819f63a1bca82242,http://api.map.baidu.com/place/detail?uid=bba87388819f63a1bca82242&output=html&source=placeapi_v2,旅游景点;公园,121.4181315,31.27989879,旅游景点,公园,2021/10/25 0:53,0.95914,1,3050
135,桂林公园,上海市,上海市,徐汇区,上海市徐汇区桂林路128号,beabdbf45a2986997069d3d9,http://api.map.baidu.com/place/detail?uid=beabdbf45a2986997069d3d9&output=html&source=placeapi_v2,旅游景点;公园,121.4132892,31.16723632,旅游景点,公园,2021/10/25 0:53,3.58996,1,5681
136,顾村公园,上海市,上海市,宝山区,上海市宝山区顾村镇沪太路4788号,befdb292c733c89c87154106,http://api.map.baidu.com/place/detail?uid=befdb292c733c89c87154106&output=html&source=placeapi_v2,旅游景点;公园,121.3652556,31.34073342,旅游景点,公园,2021/10/25 0:53,235.51459,1,3231
137,宜川路99号宜川公园,上海市,上海市,普陀区,上海市普陀区宜川路99号,bf29b7026d225b9809b93aca,http://api.map.baidu.com/place/detail?uid=bf29b7026d225b9809b93aca&output=html&source=placeapi_v2,旅游景点;公园,121.4361037,31.26206853,旅游景点,公园,2021/10/25 0:53,1.66921,1,2405
138,静安雕塑公园,上海市,上海市,静安区,上海市静安区石门二路128号(近北京西路),bff8fa7dc2732ea3c8213d07,http://api.map.baidu.com/place/detail?uid=bff8fa7dc2732ea3c8213d07&output=html&source=placeapi_v2,旅游景点;公园,121.4594166,31.23676368,旅游景点,公园,2021/10/25 0:53,8.48633,1,19558
