名称,地址,区划,lng,lat
泗塘公园,张庙街道爱辉路70号,宝山区,121.4456088,31.34000756
真如公园,大渡河路1894号(近铜川路),普陀区,121.3946628,31.25485915
李子园公园,真南路822弄与武威东路交汇处,普陀区,121.3788063,31.27735585
东安公园,中山南二路811号(龙华中路地铁站10号口步行220米),徐汇区,121.4497776,31.18712312
光启公园,南丹路17号(徐家汇地铁站1号口步行230米),徐汇区,121.4300102,31.19144798
桃林公园,源深路1111号,浦东新区,121.5347879,31.2273817
活水公园,南车站路564号,黄浦区,121.489687,31.20438955
不夜城公园,华盛路213号(汉中路地铁站2号口步行350米),静安区,121.4564768,31.24653322
长青公园,长清路11号(长清路地铁站7号口旁),浦东新区,121.484228,31.17604847
东明公园,三林城(三林东地铁站4号口步行210米),浦东新区,121.5149848,31.14842083
普陀公园,光复西路255号(镇坪路地铁站2号口步行310米),普陀区,121.4229947,31.2465509
华灵公园,华灵路698号(大华三路地铁站1号口步行350米),宝山区,121.4181158,31.27996847
金桥公园-淮音广场,台儿庄路金桥公园(东北角),浦东新区,121.5898363,31.25988699
蔓趣公园,洪山路201号(近昌里路),浦东新区,121.495988,31.17637336
上南公园,德州路198号(成山路地铁站2号口步行270米),浦东新区,121.4941309,31.16915449
滨江大道-欢乐广场,富城路滨江公园,浦东新区,121.4922695,31.23720877
永和公园,原平路702号,静安区,121.4278779,31.29216048
机器人公园,江浦路1536号(江浦路地铁站3号口步行230米),杨浦区,121.5134375,31.27902914
管弄公园,管弄路29号(近华池路),普陀区,121.4228824,31.25951704
济阳公园,耀华路600号(济阳路口),浦东新区,121.4753848,31.1711134
白沙公园,杨行镇白沙园路601号,宝山区,121.4325598,31.39770787
沿北公园,军民公路2888号,浦东新区,121.5803027,31.14477154
延中公园,巨鹿路成都南路口,黄浦区,121.4625076,31.22437136
吟风公园,齐恒路19号(杨高南路地铁站4号口步行490米),浦东新区,121.5150232,31.19226944
大宁四方公园,彭江路与广延路交口,静安区,121.4509148,31.28912215
香梅公园,东绣路与梅花路交叉口东北100米,浦东新区,121.5339315,31.21307741
西岸自然艺术公园,华泾路190号,徐汇区,121.4479664,31.12367043
周浦文化公园,周邓公路6851号,浦东新区,121.5929133,31.11489352
智力公园,呼兰西路1号-3号(呼兰路地铁站4号口步行350米),宝山区,121.4291006,31.34215734
百禧公园,曹杨路,普陀区,121.4071134,31.23987961
闵行文化公园,吴中路2019号(航中路地铁站3号口步行310米),闵行区,121.3559194,31.16663073
阳泉公园,阳泉路1401号,宝山区,121.4601836,31.32859986
闵行体育公园,新镇路456号,闵行区,121.3662576,31.14506485
虹桥公园,遵义路101号(紫云西路口),长宁区,121.400928,31.20795887
清涧公园,金鼎路650号(近万镇路),普陀区,121.3773422,31.2603733
春光公园,武威路1005号,普陀区,121.3528105,31.27670474
丰翔智秀公园,工业路与山连路交叉口东北100米,宝山区,121.354852,31.30788999
南大公园,丰收东路388弄,宝山区,121.3664152,31.30802095
合庆公园,庆荣路398号,浦东新区,121.7190038,31.23780322
Y18-星愿公园,申迪西路1009号,浦东新区,121.6640817,31.13858738
绥德公园,绥德路与桃浦路交叉口北380米,嘉定区,121.3522221,31.27082616
共和公园,场北路408号,宝山区,121.4259673,31.33407005
友谊公园,密山路98号(近宝林路),宝山区,121.4751151,31.40206925
梅川公园,武宁路2361号(梅岭北路地铁站5号口步行480米),普陀区,121.3882264,31.24706137
浦发公园,永泰路浦三路口(浦三路地铁站2号口步行130米),浦东新区,121.53575,31.15184262
桃浦公园,桃浦西路1018号(古浪路地铁站4号口步行210米),普陀区,121.3874007,31.28248644
环东公园,张江镇孙新路(环东菜市场南侧),浦东新区,121.6505516,31.18539037
海棠公园,武宁路2650号,普陀区,121.3855367,31.24927562
梦公园,桂林路907号(吴中路地铁站2号口步行70米),徐汇区,121.4133725,31.18450367
月浦公园,月浦镇龙镇路6号,宝山区,121.4240541,31.41828278
外高桥自贸广场公园,富特西一路至富特北路的马吉路段南侧,浦东新区,121.5853956,31.35032064
桃溪公园,兰溪路近铜川路,普陀区,121.3965647,31.25352057
大宁郁金香公园拳操广场,宜川路大宁郁金香公园,静安区,121.4340131,31.27582021
长宁虹桥体育公园,绥宁路820号,长宁区,121.3414,31.22317096
祥和公园,真光路1121甲,普陀区,121.3750979,31.2440755
祁连公园,塘祁路1356号,宝山区,121.3736041,31.32923113
莘庄公园,莘浜路421号,闵行区,121.3680147,31.10393012
盘古公园,盘古路与铁峰路交叉口西北角,宝山区,121.4477339,31.40007702
吴淞公园,泰和路5号(近吴淞码头),宝山区,121.4957871,31.37893278
前滩休闲公园-媒体广场,泳耀路与耀体路交叉口西北前滩友城公园内(北侧),浦东新区,121.4683463,31.16208657
虹桥河滨公园,长宁路2080号(锦屏路口),长宁区,121.3960196,31.22142728
