adname,adress,divisions,lng,lat
浦秀村文化广场,浦灵路与北环路交叉口北80米,奉贤区,121.4058832,30.96955731
休闲广场,海湾旅游区海涵路6号碧海金沙内,奉贤区,121.5494544,30.82237865
南上海运河公园,奉浦街道运河路沿线,奉贤区,121.4674636,30.92485584
奉城镇人口文化公园,兰博路与新奉公路交叉口东80米,奉贤区,121.6335778,30.9069807
朱新村新凨公园,竹馨丁香苑北侧250米,奉贤区,121.6946415,30.88680509
华盛文化广场,新奉公路与头桥东路交叉口东北100米,奉贤区,121.6430374,30.94937367
华东理工大学奉贤校区慢时广场,海思路999号华东理工大学奉贤校区,奉贤区,121.4976289,30.83134261
美谷公园,万顺路2089号,奉贤区,121.510579,30.96249135
华东理工大学奉贤校区亲水广场,海思路999号华东理工大学奉贤校区,奉贤区,121.4976609,30.83225419
明星村六岔道公园,沿钱公路与西星港路交叉口西60米,奉贤区,121.5383868,30.97883707
护民村草地公园,海民南北路与平庄东路交叉口东南40米,奉贤区,121.6286287,30.89320473
冷泾广场,庄行镇冷泾新村,奉贤区,121.3956539,30.90605155
四团幸福公园,四团镇港佳路与港坤路交叉口,奉贤区,121.7334076,30.93673951
庄行镇农艺(郊野)公园,西闸公路,奉贤区,121.4080852,30.98239261
柘林公园,新北路与新粮路交叉口东340米,奉贤区,121.4633495,30.86852004
人和广场,金海公路与泽丰路交叉口东260米,奉贤区,121.4902118,30.93276938
泰日小匝港公园,泰日新建路,奉贤区,121.5562502,30.98416109
贤浦公园,贤浦路2554号,奉贤区,121.5047627,30.95954901
元音公园,大叶公路与金建路交叉口西南100米,奉贤区,121.5051776,30.97803528
洪庙小公园,奉城镇洪运路58号,奉贤区,121.6828532,30.93039294
运石河公园,柘林镇海湾路与奉柘公路交叉口,奉贤区,121.4972204,30.84377732
贝港河公园,前胜路,奉贤区,121.4633289,30.86315309
古海塘文化公园,胡桥路与新柘东路交叉口东南100米,奉贤区,121.4748918,30.83277383
水帘洞广场公园,沪杭公路水帘洞新村(西渡地铁站4号口步行470米),奉贤区,121.426231,30.99585039
三桑公园,陈谊支路,奉贤区,121.4649574,30.963998
西渡小公园,沿江路与沪杭公路辅路交叉口北60米,奉贤区,121.4252684,30.99751221
西渡江边公园,闵浦二桥,奉贤区,121.4245734,30.99745241
和合社区公园,解放东路与德政路交叉口东北角,奉贤区,121.4815701,30.92260684
玉兰广场,湖堤路与秀竹路交叉口北240米,奉贤区,121.4911563,30.93116916
新开河公园,正博路1882号,奉贤区,121.7432666,30.87711275
蓝湾公园,雪柳路与云樱路交叉口西南60米,奉贤区,121.740777,30.87914794
临港南桥智行广场,金海公路6055号,奉贤区,121.4783765,30.95259381
墩头公园,华星路与大叶公路辅路交叉口西北120米,奉贤区,121.6310676,30.98886577
南行港公园,金钱公路与南行港路交叉口西北角,奉贤区,121.4974968,30.96959237
碧海金沙索道滑水公园,海涵路碧海金沙,奉贤区,121.547155,30.82058919
五象广场,奉浦社区环城东路999号五象城,奉贤区,121.4617949,30.92605932
聚贤广场,秀竹路泡泡公园,奉贤区,121.5024089,30.9287173
德园社区公园,德丰路望园南路东北角,奉贤区,121.4805832,30.92832358
二桥村党建微公园,服民路,奉贤区,121.648484,30.96058259
智力公园,呼兰西路1号-3号(呼兰路地铁站4号口步行350米),宝山区,121.4291006,31.34215734
罗泾公园(南区),罗泾镇潘沪路298号(近罗宁路)罗泾公园,宝山区,121.3242826,31.48242397
鸽子广场,顾村镇沪太路4788号顾村公园3号门内,宝山区,121.3552848,31.33635377
月浦公园,月浦镇龙镇路6号,宝山区,121.4240541,31.41828278
罗泾公园(北区),罗泾镇潘沪路298号(近罗宁路),宝山区,121.323175,31.48399882
宝山滨江公园,临江公园对面,宝山区,121.4920136,31.41269686
罗泾公园广场,潘沪路298号,宝山区,121.3244032,31.48390748
友谊公园,密山路98号(近宝林路),宝山区,121.4751151,31.40206925
共和公园,场北路408号,宝山区,121.4259673,31.33407005
花神广场,市一路与镇东路交叉口东南100米,宝山区,121.3422674,31.41633877
上海吴淞炮台湾国家湿地公园,塘后路206号,宝山区,121.5046543,31.39863848
