name,adress,divisions,lng,lat
四川北路公园,四川北路1428号(四川北路地铁站1号口步行220米),虹口区,121.48031440303672,31.25683360524212
四平科技公园,四平路1777号,杨浦区,121.50180436464584,31.28965863465936
民星公园,殷行街道嫩江路1111号(近中原路),杨浦区,121.53071019964668,31.316117107341785
曲阳公园,中山北一路880号,虹口区,121.48109338027514,31.288884309934303
霍山公园,霍山路118号(近舟山路)(提篮桥地铁站1号口步行400米),虹口区,121.50670879189838,31.25546965902237
上海人民广场,人民大道185号,黄浦区,121.47064587471176,31.230763006198547
德惠路口袋公园,东至德惠路、南至顺平路,杨浦区,121.53335638749653,31.2781557569956
人民公园,南京西路231号,黄浦区,121.46858988957992,31.234074871911083
工农公园,包头路929号(近殷行路),杨浦区,121.533414403775,31.32784342929768
新江湾城公园,政和路与国秀路进出口西北角,杨浦区,121.50942764147116,31.33578957195629
闸北公园,共和新路1555号(近洛川东路),静安区,121.45540450346816,31.27244136646469
黄兴公园-中心广场,营口路699号黄兴公园,杨浦区,121.525292892759,31.29531524542176
东沟公园,浦东北路1200弄,浦东新区,121.57327853530992,31.29879600376096
静安雕塑公园,石门二路128号(近北京西路)(自然博物馆地铁站1号口旁),静安区,121.4593168962631,31.23673358530384
中兴公园,中华新路396号(中兴路地铁站1号口步行290米),静安区,121.46538873880723,31.256633177466217
开兴体育公园,双桥路318号,浦东新区,121.5989874384821,31.28860647153661
金桥镇樱花公园,金京路与佳乐路交叉口西南角,浦东新区,121.61236592473256,31.270177233241192
绿洲公园,高行镇近兰谷路庭安路交叉口,浦东新区,121.59355270961026,31.328879600609092
高桥公园,花山路482号,浦东新区,121.56854502312872,31.34772014496443
江湾公园,新市北路1509号(近丰镇路),虹口区,121.477412019835,31.307803171006142
昆山公园,昆山花园路13号(百官街口),虹口区,121.48216737294736,31.25095760115592
凉城公园,凉城路800号(近车站北路),虹口区,121.46736931634852,31.29984339580997
大宁公园,广中西路288号(近共和新路),静安区,121.4384859787016,31.27762798785285
复兴公园,复兴中路516号,黄浦区,121.46457843596173,31.21891628765046
高行绿地公园,高行镇金京路906号,浦东新区,121.6107923551323,31.28928445369572
活力102体育休闲公园,陆家嘴街道乳山路102号活力102俱乐部,浦东新区,121.51642229036273,31.23695305324712
辅德里公园,老成都北路7弄之20-44号,静安区,121.4620951031423,31.22671720359748
锦绣文化公园,高科西路2599号,浦东新区,121.54117177629564,31.19278700828633
世博公园,世博大道2700号2号(世博大道地铁站1号口步行260米),浦东新区,121.480434594738,31.18909879319437
太平桥公园,自忠路170号(一大会址·新天地地铁站1号口步行490米),黄浦区,121.47237436917489,31.221627055263564
